球员,球队,位置,场次,先发,出场时间,三分命中率,罚球命中率,进攻效率,防守效率,篮板,助攻,抢断,盖帽,失误,犯规,得分
giannis_antetokounmpo,雄鹿,前锋,12,12,37.3,22.0,67.9,2.2,12.0,14.2,6.8,0.7,1.3,4.5,3.6,31.7
luka_don,独行侠,前锋-后卫,12,12,36.2,35.7,77.2,0.8,8.7,9.4,6.5,1.9,0.4,4.1,3.0,31.4
jimmy_butler,热火,前锋,13,13,36.0,34.7,83.0,2.4,4.8,7.2,4.9,2.2,0.7,1.7,1.4,28.1
brandon_ingram,鹈鹕,前锋,6,6,39.3,40.7,83.0,0.7,5.5,6.2,6.2,0.7,0.3,3.8,1.8,27.0
jayson_tatum,凯尔特人,前锋-后卫,14,14,40.7,37.4,82.2,0.9,4.9,5.8,5.9,1.4,0.9,4.3,3.1,26.9
kevin_durant,篮网,前锋,4,4,44.0,33.3,89.5,0.5,5.3,5.8,6.3,1.0,0.3,5.3,3.8,26.3
jaylen_brown,凯尔特人,后卫-前锋,14,14,38.1,39.6,75.0,1.2,5.9,7.1,3.5,1.4,0.5,2.9,2.6,23.7
joel_embiid,76人,中锋-前锋,10,10,38.5,21.2,82.0,2.1,8.6,10.7,2.1,0.4,0.8,3.2,3.4,23.6
pascal_siakam,猛龙,前锋,6,6,43.3,23.5,86.1,1.3,5.8,7.2,5.8,1.2,1.0,2.2,4.0,22.8
karl-anthony_towns,森林狼,中锋-前锋,6,6,37.0,45.5,86.0,1.8,9.0,10.8,2.2,0.7,2.0,4.5,4.2,21.8
deandre_hunter,老鹰,前锋-后卫,5,5,35.0,46.2,80.0,0.4,3.4,3.8,0.6,0.8,0.2,2.2,4.0,21.2
demar_derozan,公牛,后卫-前锋,5,5,40.6,0.0,86.7,0.2,5.2,5.4,4.8,1.8,0.4,2.2,2.4,20.8
zach_lavine,公牛,后卫-前锋,4,4,38.3,37.5,93.3,0.0,5.3,5.3,6.0,0.8,0.3,3.0,2.3,19.3
bojan_bogdanovic,爵士,前锋,6,6,35.7,33.3,79.2,0.5,3.7,4.2,1.7,0.3,0.0,2.0,4.0,18.0
og_anunoby,猛龙,前锋,6,6,36.2,34.1,75.0,1.2,2.8,4.0,2.5,1.0,0.2,1.7,3.0,17.3
tobias_harris,76人,前锋,12,12,38.8,38.6,86.4,0.8,6.8,7.6,2.9,1.1,0.8,1.5,2.9,16.9
jaren_jackson_jr,灰熊,前锋-中锋,12,12,27.7,37.5,75.5,2.2,4.6,6.8,0.9,0.8,2.5,1.4,4.4,15.4
gary_trent_jr,猛龙,后卫-前锋,6,6,33.2,33.3,89.5,0.2,1.5,1.7,1.3,1.0,0.5,0.5,1.8,15.3
andrew_wiggins,勇士,前锋,13,13,32.4,41.5,56.1,2.3,4.3,6.6,1.6,0.9,1.1,1.4,2.5,15.0
bam_adebayo,热火,中锋-前锋,14,14,32.9,0.0,78.8,1.6,6.1,7.7,2.8,1.2,0.9,2.1,3.1,14.9
dillon_brooks,灰熊,后卫-前锋,11,11,30.5,34.7,64.0,0.7,2.0,2.7,2.7,1.0,0.3,2.0,3.3,14.6
khris_middleton,雄鹿,前锋,2,2,35.5,42.9,100.0,0.5,4.5,5.0,7.0,1.5,0.0,5.5,3.0,14.5
bruce_brown,篮网,后卫-前锋,4,4,34.8,42.9,80.0,1.5,3.3,4.8,2.8,1.3,0.8,2.3,4.0,14.0
aaron_gordon,掘金,前锋,5,5,32.0,20.0,71.4,3.6,3.6,7.2,2.6,0.4,1.2,1.6,2.8,13.8
mikal_bridges,太阳,前锋,13,13,38.5,39.4,93.3,0.9,3.8,4.7,2.8,1.1,1.0,0.8,2.4,13.3
al_horford,凯尔特人,中锋-前锋,13,13,36.5,48.3,86.7,1.5,7.8,9.2,3.3,1.0,1.5,1.2,3.2,13.3
scottie_barnes,猛龙,前锋,4,3,33.3,16.7,81.3,1.8,7.3,9.0,4.3,1.0,0.3,1.3,3.0,12.8
brandon_clarke,灰熊,前锋,12,0,24.7,0.0,66.7,3.1,3.8,6.9,2.0,0.8,0.8,1.0,1.9,12.3
max_strus,热火,后卫-前锋,14,14,29.9,36.2,64.3,1.0,3.4,4.4,2.1,0.9,0.4,1.0,2.8,12.2
patrick_williams,公牛,前锋,5,5,30.6,33.3,72.7,1.2,4.2,5.4,0.8,1.0,0.6,1.4,3.0,11.8
chris_boucher,猛龙,前锋-中锋,6,0,21.7,40.0,90.0,2.0,3.8,5.8,0.2,0.2,1.2,0.3,2.2,11.2
grant_williams,凯尔特人,前锋,14,5,31.8,43.5,83.8,1.1,3.1,4.1,0.8,0.4,0.9,0.9,3.9,11.2
reggie_bullock,独行侠,后卫-前锋,15,15,39.4,40.0,94.1,0.5,4.3,4.8,1.5,1.3,0.1,0.5,2.9,11.1
dorian_finney-smith,独行侠,前锋,15,15,37.9,42.4,75.0,1.9,3.8,5.7,1.9,1.0,0.4,0.9,3.1,11.1
kevin_knox,老鹰,前锋,2,0,4.5,60.0,100.0,0.0,1.0,1.0,0.0,1.0,0.0,1.5,0.0,11.0
cameron_johnson,太阳,前锋,13,3,24.6,37.3,81.3,0.7,2.8,3.5,1.5,0.4,0.1,0.9,2.4,10.8
herbert_jones,鹈鹕,前锋,6,6,37.7,41.7,77.3,1.3,2.0,3.3,1.8,1.8,0.8,1.3,3.7,10.7
bobby_portis,雄鹿,前锋,12,5,24.8,29.8,77.3,2.1,7.9,10.0,0.8,0.4,0.3,1.3,2.2,10.6
nicolas_claxton,篮网,前锋-中锋,4,0,24.5,0.0,18.2,1.8,4.5,6.3,1.5,1.3,2.3,0.5,1.5,10.5
precious_achiuwa,猛龙,前锋,6,1,27.8,31.3,60.0,1.3,3.5,4.8,1.0,0.2,0.8,1.5,2.3,10.2
danilo_gallinari,老鹰,前锋,5,3,22.4,26.7,100.0,0.4,3.8,4.2,0.8,0.2,0.0,1.0,1.2,10.2
john_collins,老鹰,前锋-中锋,5,4,24.4,36.4,50.0,0.4,4.2,4.6,1.2,0.4,0.2,1.0,2.4,9.4
jae_crowder,太阳,前锋,13,13,29.5,30.2,73.1,0.6,4.1,4.7,2.4,1.0,0.5,1.5,3.6,9.4
jaden_mcdaniels,森林狼,前锋,6,0,21.7,50.0,83.3,0.8,2.0,2.8,0.7,0.3,1.8,1.0,3.0,9.3
