球员,球队,位置,场次,先发,出场时间,三分命中率,罚球命中率,进攻效率,防守效率,篮板,助攻,抢断,盖帽,失误,犯规,得分
luka_don,独行侠,前锋-后卫,12,12,36.2,35.7,77.2,0.8,8.7,9.4,6.5,1.9,0.4,4.1,3.0,31.4
ja_morant,灰熊,后卫,9,9,37.6,34.0,74.7,1.4,6.6,8.0,9.8,2.0,0.4,3.6,2.4,27.1
jayson_tatum,凯尔特人,前锋-后卫,14,14,40.7,37.4,82.2,0.9,4.9,5.8,5.9,1.4,0.9,4.3,3.1,26.9
stephen_curry,勇士,后卫,13,9,33.2,37.5,80.5,0.6,4.5,5.1,5.5,1.0,0.5,2.7,2.5,26.8
donovan_mitchell,爵士,后卫,6,6,38.3,20.8,88.1,1.0,3.3,4.3,5.7,0.7,0.5,2.7,2.3,25.5
anthony_edwards,森林狼,后卫,6,6,37.8,40.4,82.4,0.7,3.5,4.2,3.0,1.2,1.2,2.5,3.7,25.2
jaylen_brown,凯尔特人,后卫-前锋,14,14,38.1,39.6,75.0,1.2,5.9,7.1,3.5,1.4,0.5,2.9,2.6,23.7
devin_booker,太阳,后卫,10,10,36.6,43.1,88.7,1.0,3.8,4.8,4.4,0.5,0.4,3.2,2.5,23.3
jalen_brunson,独行侠,后卫,15,15,35.2,33.8,81.3,0.9,3.9,4.7,3.6,0.9,0.0,1.2,2.0,22.9
cj_mccollum,鹈鹕,后卫,6,6,39.0,33.3,69.2,1.8,4.8,6.7,4.8,0.7,0.8,2.5,2.5,22.2
kyrie_irving,篮网,后卫,4,4,42.5,38.1,100.0,1.5,3.8,5.3,5.3,1.8,1.3,2.3,3.3,21.3
deandre_hunter,老鹰,前锋-后卫,5,5,35.0,46.2,80.0,0.4,3.4,3.8,0.6,0.8,0.2,2.2,4.0,21.2
demar_derozan,公牛,后卫-前锋,5,5,40.6,0.0,86.7,0.2,5.2,5.4,4.8,1.8,0.4,2.2,2.4,20.8
tyrese_maxey,76人,后卫,12,12,40.4,37.7,94.0,0.5,3.0,3.5,3.9,0.8,0.2,1.8,2.0,20.8
jordan_poole,勇士,后卫,13,5,30.5,39.0,90.2,0.6,2.5,3.1,4.7,0.8,0.5,2.7,2.8,19.5
klay_thompson,勇士,后卫,13,13,35.2,39.6,80.0,0.3,4.2,4.5,2.4,1.0,0.9,1.5,2.1,19.5
zach_lavine,公牛,后卫-前锋,4,4,38.3,37.5,93.3,0.0,5.3,5.3,6.0,0.8,0.3,3.0,2.3,19.3
jrue_holiday,雄鹿,后卫,12,12,38.6,31.6,83.9,1.0,4.6,5.6,6.5,1.8,0.6,2.8,2.3,19.1
desmond_bane,灰熊,后卫,12,12,35.7,48.9,85.7,0.4,3.3,3.8,2.2,0.9,0.8,1.3,1.9,18.8
james_harden,76人,后卫,12,12,39.9,36.8,89.3,0.9,4.8,5.7,8.6,0.8,0.7,4.2,2.4,18.6
jordan_clarkson,爵士,后卫,6,0,28.3,37.5,88.9,0.8,2.3,3.2,1.3,0.5,0.2,1.7,2.8,17.5
chris_paul,太阳,后卫,13,13,34.5,38.8,94.6,0.5,3.6,4.2,8.3,1.5,0.2,2.4,3.1,17.5
marcus_smart,凯尔特人,后卫,12,12,36.9,35.8,78.4,1.0,3.2,4.2,6.8,1.2,0.4,2.4,3.3,15.8
