球员,球队,位置,场次,先发,出场时间,三分命中率,罚球命中率,进攻效率,防守效率,篮板,助攻,抢断,盖帽,失误,犯规,得分
nikola_jokic,掘金,中锋,5,5,34.2,27.8,84.8,3.4,9.8,13.2,5.8,1.6,1.0,4.8,4.0,31.0
joel_embiid,76人,中锋-前锋,10,10,38.5,21.2,82.0,2.1,8.6,10.7,2.1,0.4,0.8,3.2,3.4,23.6
karl-anthony_towns,森林狼,中锋-前锋,6,6,37.0,45.5,86.0,1.8,9.0,10.8,2.2,0.7,2.0,4.5,4.2,21.8
nikola_vucevic,公牛,中锋,5,5,36.2,31.0,80.0,2.8,9.6,12.4,3.2,0.4,1.2,1.6,2.8,19.4
deandre_ayton,太阳,中锋,13,13,30.5,50.0,63.6,2.5,6.4,8.9,1.7,0.4,0.8,1.5,2.6,17.9
jaren_jackson_jr,灰熊,前锋-中锋,12,12,27.7,37.5,75.5,2.2,4.6,6.8,0.9,0.8,2.5,1.4,4.4,15.4
bam_adebayo,热火,中锋-前锋,14,14,32.9,0.0,78.8,1.6,6.1,7.7,2.8,1.2,0.9,2.1,3.1,14.9
jonas_valanciunas,鹈鹕,中锋,6,6,29.2,16.7,76.9,5.5,8.8,14.3,3.0,0.7,0.2,2.0,2.8,14.5
al_horford,凯尔特人,中锋-前锋,13,13,36.5,48.3,86.7,1.5,7.8,9.2,3.3,1.0,1.5,1.2,3.2,13.3
rudy_gobert,爵士,中锋,6,6,32.8,0.0,68.2,3.5,9.7,13.2,0.5,0.2,1.0,1.3,3.2,12.0
chris_boucher,猛龙,前锋-中锋,6,0,21.7,40.0,90.0,2.0,3.8,5.8,0.2,0.2,1.2,0.3,2.2,11.2
demarcus_cousins,掘金,中锋,5,0,11.4,66.7,73.3,0.6,2.8,3.4,1.2,0.6,0.2,1.4,1.8,10.6
brook_lopez,雄鹿,中锋,12,12,27.7,21.4,91.3,2.3,3.7,5.9,0.7,0.5,1.5,0.9,2.7,10.6
nicolas_claxton,篮网,前锋-中锋,4,0,24.5,0.0,18.2,1.8,4.5,6.3,1.5,1.3,2.3,0.5,1.5,10.5
john_collins,老鹰,前锋-中锋,5,4,24.4,36.4,50.0,0.4,4.2,4.6,1.2,0.4,0.2,1.0,2.4,9.4
larry_nance_jr,鹈鹕,前锋-中锋,6,0,21.7,22.2,81.8,3.2,2.7,5.8,1.8,0.5,0.3,1.0,2.5,9.2
robert_williams,凯尔特人,中锋-前锋,7,5,21.3,0.0,83.3,2.4,2.9,5.3,1.0,0.7,2.0,0.6,3.0,7.7
javale_mcgee,太阳,中锋-前锋,12,0,11.1,0.0,84.6,1.3,2.7,4.0,0.6,0.3,0.4,0.8,2.3,6.8
jaxson_hayes,鹈鹕,中锋-前锋,6,6,13.8,0.0,63.6,0.7,1.8,2.5,0.2,0.0,0.3,0.7,1.8,5.8
onyeka_okongwi,老鹰,前锋-中锋,5,1,21.6,0.0,80.0,2.2,3.2,5.4,0.4,0.8,0.8,0.8,3.8,5.2
tony_bradley,公牛,中锋-前锋,2,0,4.0,0.0,0.0,0.0,2.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0
naz_reid,森林狼,中锋-前锋,5,0,10.8,42.9,100.0,0.4,2.4,2.8,0.0,0.2,1.2,1.0,2.8,4.8
daniel_theis,凯尔特人,前锋-中锋,13,5,13.2,16.7,75.0,1.0,2.4,3.4,0.8,0.3,0.5,0.8,1.8,4.8
jamychal_green,掘金,前锋-中锋,5,0,13.8,20.0,100.0,0.6,1.8,2.4,0.4,0.0,0.2,0.4,2.4,4.0
andre_drummond,篮网,中锋,4,4,15.0,0.0,60.0,0.8,2.3,3.0,0.8,1.3,0.8,1.5,3.0,3.8
dewayne_dedmon,热火,中锋,13,0,9.7,0.0,83.3,1.2,2.0,3.2,0.4,0.1,0.2,0.4,2.5,3.5
dwight_powell,独行侠,前锋-中锋,15,15,14.8,0.0,60.0,1.0,1.8,2.8,0.3,0.2,0.4,0.6,2.5,3.5
steven_adams,灰熊,中锋,7,5,16.3,0.0,54.5,2.1,4.3,6.4,2.1,0.1,0.1,0.6,1.7,3.4
deandre_jordan,76人,中锋,3,2,10.3,0.0,0.0,0.3,2.0,2.3,0.3,0.0,0.7,0.7,1.3,3.3
khem_birch,猛龙,中锋,6,4,10.5,50.0,0.0,0.7,0.8,1.5,0.5,0.2,0.2,0.5,2.2,3.0
tmp_omer_yurtseven,热火,中锋,7,0,4.4,0.0,33.3,0.1,0.7,0.9,0.4,0.0,0.1,0.0,0.3,3.0
bismack_biyombo,太阳,中锋,9,0,9.6,0.0,50.0,0.9,1.2,2.1,0.6,0.1,0.2,0.7,1.4,2.8
clint_capela,老鹰,中锋,2,2,20.0,0.0,0.0,2.0,5.5,7.5,0.0,0.5,0.5,0.5,1.0,2.0
willy_hernangomez,鹈鹕,中锋-前锋,1,0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
greg_monroe,森林狼,前锋-中锋,2,0,3.5,0.0,0.0,0.5,0.5,1.0,0.5,1.0,0.0,0.5,0.5,2.0
hassan_whiteside,爵士,中锋,6,0,10.8,0.0,25.0,1.3,3.8,5.2,0.0,0.3,1.3,0.0,1.5,1.8
gorgui_dieng,老鹰,中锋,2,0,5.0,0.0,100.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5
zeke_nnaji,掘金,前锋-中锋,2,0,4.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5
boban_marjanovic,独行侠,中锋,3,0,2.0,0.0,100.0,0.0,1.0,1.0,0.0,0.3,0.0,0.7,0.0,1.3
tristan_thompson,公牛,中锋-前锋,5,0,7.6,0.0,0.0,0.4,1.2,1.6,0.4,0.2,0.0,1.0,0.8,0.8
